"OrderDate";"Country";"OrderId";"Value";"Currency";"ProductCategory"
"2012-01-07";"FR";"10014312";"968,01";"USD";"Holidays"
"2012-02-09";"IT";"10014404";"571.64";"USD";"Hotel"
"2012-10-03";"ES";"10014648";"1.435.01";"GBP";"Hotel"
"2012-05-22";"ES";"10014892";"1.235.13";"GBP";"Hotel"
"2012-08-04";"FR";"10014923";"386,14";"USD";"Holidays"
"2012-08-13";"ES";"10015167";"1.646.24";"GBP";"Flight"
"04/04/2012";"UK";"10015594";"518.83";"GBP";"Flight"
"02/26/2012";"UK";"10015686";"1 973.78";"USD";"Hotel"
"10/30/2012";"UK";"10015747";"503.17";"GBP";"Hotel"
"2012-08-23";"UK";"10015838";"2 652.86";"EUR";"Flight"
"2012-09-13";"UK";"10015899";"1 653.18";"GBP";"Hotel"
"07/21/2012";"UK";"10016143";"179.27";"EUR";"Flight"
"2012-01-02";"ES";"10016235";"1.809.53";"EUR";"Flight"
"2012-01-05";"UK";"10016296";"537.90";"EUR";"Hotel"
"2012-11-21";"IT";"10016448";"284.01";"EUR";"Hotel"
"01/07/2012";"UK";"10016662";"201.37";"GBP";"Hotel"
"2012-04-25";"IT";"10017333";"220.01";"EUR";"Flight"
"2012-08-06";"FR";"10017395";"355,09";"GBP";"Cars"
"2012-03-26";"ES";"10018310";"1.658.18";"USD";"Hotel"
"2012-10-09";"ES";"10018402";"2.969.69";"EUR";"Restaurant"
"2012-12-19";"IT";"10018829";"982.16";"USD";"Hotel"
"2012-11-11";"FR";"10019012";"255,76";"EUR";"Hotel"
"2012-08-20";"UK";"10019348";"3 506.81";"USD";"Hotel"
"2012-03-26";"FR";"10019439";"2.338,15";"EUR";"Flight"
"2012-04-03";"UK";"10019500";"123.73";"EUR";"Cars"
"2012-08-07";"UK";"10019653";"1 087.47";"GBP";"Hotel"
"2012-09-27";"UK";"10020416";"2 130.92";"EUR";"Flight"
"2012-08-15";"FR";"10020660";"1.847,76";"GBP";"Hotel"
"2012-06-23";"IT";"10020843";"616.01";"USD";"Hotel"
"06/14/2012";"IT";"10021026";"1.100.07";"EUR";"Hotel"
"11/07/2012";"FR";"10021087";"1.352,00";"EUR";"Hotel"
"2012-07-13";"UK";"10021972";"104.88";"GBP";"Flight"
"01/21/2012";"IT";"10022583";"132.12";"USD";"Hotel"
"2012-12-17";"UK";"10023925";"1 533.98";"USD";"Hotel"
"2012-08-09";"UK";"10023986";"120.46";"EUR";"Holidays"
"2012-06-24";"UK";"10024047";"311.81";"USD";"Flight"
"2012-04-08";"FR";"10024139";"467,89";"USD";"Flight"
"02/19/2012";"ES";"10025512";"1.597.18";"EUR";"Hotel"
"2012-09-07";"UK";"10025573";"2 290.00";"USD";"Holidays"
"2012-05-11";"FR";"10026214";"2.727,20";"GBP";"Flight"
"2012-09-28";"IT";"10026336";"188.73";"GBP";"Flight"
"2012-04-14";"FR";"10026977";"2.569,99";"EUR";"Hotel"
"2012-11-29";"IT";"10027343";"3.323.49";"EUR";"Hotel"
"2012-11-17";"IT";"10027435";"50.69";"EUR";"Flight"
"2012-05-09";"UK";"10027526";"1 276.92";"EUR";"Hotel"
"01/29/2012";"FR";"10027801";"1.802,87";"USD";"Holidays"
"2012-10-15";"IT";"10028076";"3.105.21";"USD";"Holidays"
"2012-10-12";"FR";"10028106";"2.265,45";"EUR";"Holidays"
"2012-12-16";"ES";"10028472";"473.46";"EUR";"Flight"
"04/26/2012";"UK";"10029083";"670.70";"EUR";"Flight"
"2012-12-20";"IT";"10029235";"2.225.55";"USD";"Flight"
"2012-10-28";"FR";"10029388";"2.145,86";"EUR";"Holidays"
"2012-09-20";"UK";"10029510";"2 374.84";"EUR";"Flight"
"06/08/2012";"FR";"10029663";"911,58";"USD";"Flight"
"09/24/2012";"FR";"10029693";"2.280,19";"GBP";"Holidays"
"2012-07-29";"UK";"10029815";"484.56";"EUR";"Hotel"
"2012-05-06";"FR";"10029968";"3.257,91";"GBP";"Flight"
"2012-04-26";"UK";"10030517";"767.51";"EUR";"Flight"
"2012-11-10";"FR";"10030609";"344,74";"EUR";"Holidays"
"2012-02-22";"UK";"10030944";"824.19";"EUR";"Cars"
"07/14/2012";"UK";"10031066";"168.33";"USD";"Holidays"
"2012-02-15";"FR";"10031188";"1.933,52";"EUR";"Hotel"
"2012-01-29";"FR";"10031738";"2.095,55";"GBP";"Hotel"
"08/26/2012";"UK";"10031860";"2 696.72";"EUR";"Hotel"
"02/01/2012";"IT";"10032623";"1.758.46";"USD";"Hotel"
"02/21/2012";"FR";"10033020";"3.328,05";"EUR";"Hotel"
"2012-01-26";"UK";"10033142";"2 130.87";"GBP";"Holidays"
"2012-02-18";"UK";"10033691";"444.27";"USD";"Flight"
"02/13/2012";"UK";"10034149";"910.39";"EUR";"Hotel"
"2012-11-15";"IT";"10034332";"998.98";"EUR";"Holidays"
"2012-10-30";"IT";"10034393";"4.212.51";"USD";"Hotel"
"2012-09-01";"UK";"10034576";"514.40";"USD";"Cars"
"2012-04-01";"ES";"10034698";"760.68";"EUR";"Flight"
"2012-05-10";"UK";"10034851";"202.13";"GBP";"Hotel"
"2012-10-26";"FR";"10035003";"1.083,48";"USD";"Hotel"
"2012-10-15";"IT";"10035308";"164.48";"GBP";"Cars"
"2012-06-02";"UK";"10035552";"1 859.13";"USD";"Hotel"
"2012-12-10";"UK";"10035888";"128.93";"USD";"Flight"
"2012-07-15";"UK";"10036529";"1 460.67";"EUR";"Hotel"
"05/02/2012";"FR";"10036865";"1.611,21";"USD";"Flight"
"2012-02-16";"IT";"10036956";"2.837.58";"EUR";"Hotel"
"2012-07-31";"FR";"10037170";"91,56";"EUR";"Holidays"
"2012-09-23";"FR";"10037353";"3.937,44";"USD";"Hotel"
"2012-11-27";"ES";"10038208";"195.65";"EUR";"Hotel"
"2012-06-23";"UK";"10038299";"1 467.73";"GBP";"Hotel"
"2012-07-18";"IT";"10038360";"2.670.35";"GBP";"Hotel"
"2012-09-05";"UK";"10038696";"1 190.64";"USD";"Flight"
"2012-04-09";"IT";"10038970";"597.58";"USD";"Flight"
"2012-07-14";"IT";"10039581";"971.79";"GBP";"Hotel"
"2012-01-02";"UK";"10039886";"292.33";"USD";"Cars"
"2012-08-17";"IT";"10040039";"1.123.47";"GBP";"Hotel"
"2012-05-14";"ES";"10040313";"44.54";"GBP";"Holidays"
"2012-08-12";"IT";"10040954";"1.307.22";"EUR";"Hotel"
"07/04/2012";"FR";"10041381";"213,75";"GBP";"Restaurant"
"2012-01-09";"FR";"10041900";"297,05";"EUR";"Restaurant"
"2012-12-05";"UK";"10042327";"3 868.18";"EUR";"Holidays"
"2012-05-28";"UK";"10042388";"1 202.09";"USD";"Hotel"
"2012-02-12";"UK";"10042419";"473.04";"EUR";"Hotel"
"2012-11-14";"UK";"10042510";"1 395.29";"EUR";"Cars"
"11/11/2012";"ES";"10042541";"591.39";"GBP";"Hotel"
"06/18/2012";"IT";"10043243";"2.230.01";"GBP";"Holidays"
"2012-10-05";"IT";"10043518";"2.817.55";"USD";"Hotel"
"2012-10-26";"UK";"10043701";"175.23";"USD";"Flight"
"2012-01-15";"UK";"10044372";"2 229.39";"USD";"Holidays"
"2012-06-08";"UK";"10044433";"3 084.50";"USD";"Hotel"
"2012-09-16";"FR";"10044830";"3.296,94";"USD";"Flight"
"2012-06-09";"ES";"10044982";"78.38";"USD";"Holidays"
"2012-05-04";"UK";"10045043";"1 794.87";"EUR";"Hotel"
"2012-10-28";"IT";"10045104";"914.13";"USD";"Hotel"
"2012-07-26";"FR";"10045135";"2.367,21";"USD";"Cars"
"2012-09-19";"UK";"10045227";"432.01";"EUR";"Holidays"
"2012-09-20";"UK";"10045776";"3 206.43";"EUR";"Flight"
"2012-02-10";"UK";"10045837";"575.81";"GBP";"Flight"
"2012-06-20";"UK";"10046478";"981.19";"GBP";"Cars"
"2012-05-14";"UK";"10047302";"1 122.01";"USD";"Cars"
"2012-05-18";"IT";"10047485";"478.80";"EUR";"Hotel"
"2012-04-30";"IT";"10047515";"397.55";"GBP";"Holidays"
"2012-11-10";"FR";"10048187";"3.423,89";"EUR";"Hotel"
"2012-08-29";"UK";"10048950";"2 905.28";"EUR";"Hotel"
"2012-07-02";"UK";"10048980";"3 779.97";"USD";"Hotel"
"2012-05-14";"IT";"10049896";"428.48";"USD";"Hotel"
"04/01/2012";"IT";"10049957";"1.156.51";"EUR";"Flight"
"2012-11-18";"FR";"10049987";"1.825,08";"EUR";"Holidays"
"02/04/2012";"ES";"10050140";"162.63";"EUR";"Flight"
"2012-12-02";"UK";"10050323";"1 027.76";"GBP";"Flight"
"2012-09-18";"IT";"10050445";"1.145.32";"GBP";"Flight"
"06/03/2012";"IT";"10050720";"483.26";"GBP";"Flight"
"2012-03-26";"ES";"10051361";"3.932.53";"USD";"Flight"
"2012-03-27";"UK";"10051483";"3 216.25";"EUR";"Flight"
"2012-09-11";"UK";"10051879";"1 384.86";"EUR";"Holidays"
"10/30/2012";"FR";"10051910";"3.529,09";"GBP";"Holidays"
"2012-03-09";"FR";"10052673";"163,83";"EUR";"Hotel"
"2012-06-02";"FR";"10052886";"1.452,23";"USD";"Hotel"
"2012-02-16";"FR";"10054046";"163,07";"EUR";"Flight"
"2012-10-04";"UK";"10054870";"2 753.99";"EUR";"Restaurant"
"2012-05-20";"UK";"10055023";"471.94";"USD";"Flight"
"2012-06-09";"UK";"10055084";"1 623.09";"EUR";"Hotel"
"2012-09-30";"UK";"10055450";"1 887.69";"USD";"Cars"
"2012-07-10";"FR";"10056274";"1.496,10";"USD";"Flight"
"2012-07-21";"FR";"10056335";"437,47";"EUR";"Hotel"
"2012-12-13";"UK";"10056579";"238.04";"EUR";"Hotel"
"01/02/2012";"ES";"10056762";"132.49";"USD";"Flight"
"11/30/2012";"FR";"10057312";"38,65";"EUR";"Hotel"
"11/10/2012";"IT";"10057464";"28.36";"USD";"Holidays"
"2012-11-09";"UK";"10057861";"118.94";"EUR";"Hotel"
"03/14/2012";"UK";"10057891";"1 561.75";"GBP";"Hotel"
"2012-03-11";"IT";"10058227";"3.295.31";"GBP";"Hotel"
"2012-04-06";"IT";"10058959";"2.852.04";"EUR";"Hotel"
"2012-08-12";"ES";"10059600";"3.352.34";"GBP";"Hotel"
"2012-04-13";"UK";"10060119";"69.05";"EUR";"Hotel"
"2012-04-15";"ES";"10060180";"494.24";"EUR";"Hotel"
"2012-12-07";"UK";"10060211";"265.41";"USD";"Flight"
"2012-11-01";"UK";"10060455";"1 257.32";"EUR";"Flight"
"2012-10-30";"ES";"10061798";"4.470.26";"GBP";"Flight"
"11/17/2012";"ES";"10063079";"1.987.71";"EUR";"Flight"
"2012-11-07";"UK";"10063537";"33.13";"GBP";"Flight"
"2012-07-14";"FR";"10064453";"1.244,59";"USD";"Flight"
"2012-04-29";"FR";"10065063";"2.904,79";"EUR";"Hotel"
"2012-02-07";"UK";"10065338";"613.22";"USD";"Hotel"
"2012-03-17";"ES";"10065917";"292.28";"EUR";"Holidays"
"2012-09-17";"UK";"10066070";"4 608.38";"EUR";"Cars"
"2012-08-01";"UK";"10066223";"1 723.80";"GBP";"Flight"
"2012-05-13";"UK";"10066528";"112.27";"GBP";"Holidays"
"2012-09-10";"FR";"10067077";"2.355,97";"USD";"Flight"
"2012-08-02";"FR";"10067596";"1.220,40";"EUR";"Cars"
"2012-06-26";"UK";"10068817";"3 247.05";"EUR";"Hotel"
"2012-06-19";"IT";"10069152";"1.983.54";"EUR";"Hotel"
"2012-05-16";"FR";"10069305";"1.826,06";"GBP";"Hotel"
"2012-06-13";"ES";"10069335";"631.42";"EUR";"Flight"
"2012-08-09";"UK";"10069580";"1 712.98";"EUR";"Flight"
"2012-08-05";"UK";"10069946";"2 463.07";"USD";"Hotel"
"2012-09-28";"FR";"10069976";"2.881,38";"USD";"Flight"
"04/08/2012";"UK";"10070800";"244.74";"USD";"Holidays"
"2012-01-03";"IT";"10071136";"981.33";"GBP";"Hotel"
"2012-04-09";"FR";"10071472";"1.102,78";"USD";"Holidays"
"2012-08-28";"IT";"10071502";"1.906.06";"USD";"Restaurant"
"2012-04-26";"UK";"10072082";"970.86";"GBP";"Hotel"
"2012-05-11";"UK";"10072784";"2 859.55";"USD";"Holidays"
"06/30/2012";"UK";"10072998";"2 596.69";"GBP";"Hotel"
"2012-08-29";"FR";"10073150";"636,43";"GBP";"Flight"
"2012-07-29";"IT";"10073242";"14.24";"GBP";"Hotel"
"04/20/2012";"FR";"10073486";"357,35";"USD";"Hotel"
"2012-09-01";"UK";"10073547";"21.83";"GBP";"Hotel"
"04/02/2012";"UK";"10073730";"1 535.70";"EUR";"Holidays"
"2012-11-02";"ES";"10073913";"438.48";"EUR";"Holidays"
"2012-04-21";"UK";"10074157";"2 883.81";"GBP";"Hotel"
"2012-02-21";"UK";"10074188";"909.83";"EUR";"Flight"
"2012-05-26";"FR";"10074279";"2.984,71";"EUR";"Restaurant"
"05/14/2012";"FR";"10074584";"1.082,42";"GBP";"Holidays"
"2012-08-11";"IT";"10074615";"1.431.86";"EUR";"Flight"
"2012-02-20";"UK";"10075286";"2 213.39";"USD";"Holidays"
"2012-07-31";"FR";"10075347";"774,97";"USD";"Holidays"
"2012-01-09";"FR";"10076293";"3.089,70";"EUR";"Hotel"
"2012-04-04";"FR";"10076446";"1.394,66";"USD";"Hotel"
"2012-02-18";"UK";"10076568";"478.69";"EUR";"Hotel"
"2012-09-02";"IT";"10076660";"3.071.23";"USD";"Hotel"
"10/23/2012";"FR";"10076751";"379,51";"USD";"Flight"
"2012-05-11";"UK";"10076934";"87.72";"EUR";"Hotel"
"2012-10-12";"FR";"10077087";"1.497,66";"EUR";"Flight"
"2012-09-05";"ES";"10077209";"2.279.21";"EUR";"Holidays"
"2012-06-21";"UK";"10077301";"2 696.07";"EUR";"Hotel"
"2012-10-16";"IT";"10077392";"515.16";"GBP";"Cars"
"01/18/2012";"FR";"10077697";"312,78";"USD";"Hotel"
"2012-08-08";"UK";"10077728";"1 079.84";"EUR";"Holidays"
"12/05/2012";"FR";"10077880";"383,86";"EUR";"Hotel"
"2012-07-21";"UK";"10077941";"228.86";"GBP";"Flight"
"2012-02-19";"FR";"10078033";"3.065,28";"EUR";"Flight"
"2012-11-04";"UK";"10078063";"389.90";"GBP";"Hotel"
"11/14/2012";"FR";"10078308";"204,85";"EUR";"Hotel"
"2012-07-13";"FR";"10078338";"1.989,97";"GBP";"Hotel"
"06/27/2012";"UK";"10078979";"614.75";"GBP";"Flight"
"06/04/2012";"UK";"10079223";"352.67";"GBP";"Flight"
"2012-05-20";"UK";"10079711";"1 192.41";"USD";"Flight"
"2012-06-29";"IT";"10080139";"748.98";"EUR";"Holidays"
"2012-07-11";"IT";"10080352";"1.089.64";"GBP";"Flight"
"2012-12-17";"ES";"10080688";"3.378.77";"EUR";"Flight"
"2012-10-14";"IT";"10081695";"456.48";"EUR";"Hotel"
"2012-04-02";"UK";"10081817";"303.07";"EUR";"Flight"
"2012-12-04";"FR";"10082794";"135,05";"GBP";"Flight"
"2012-10-21";"IT";"10082855";"286.87";"EUR";"Hotel"
"2012-06-24";"IT";"10083068";"1.616.04";"GBP";"Restaurant"
"05/15/2012";"UK";"10083251";"1 325.49";"EUR";"Hotel"
"2012-09-09";"UK";"10083343";"373.86";"EUR";"Hotel"
"04/25/2012";"IT";"10084808";"217.16";"USD";"Flight"
"2012-07-08";"FR";"10085357";"1.488,25";"GBP";"Holidays"
"2012-11-12";"ES";"10085876";"4.551.27";"EUR";"Hotel"
"2012-05-21";"UK";"10086242";"4 885.19";"GBP";"Flight"
"2012-02-09";"IT";"10086303";"439.17";"EUR";"Hotel"
"10/09/2012";"FR";"10086334";"829,83";"GBP";"Hotel"
"2012-08-26";"IT";"10086517";"4.157.92";"USD";"Flight"
"2012-02-14";"IT";"10087280";"141.57";"GBP";"Hotel"
"09/26/2012";"UK";"10087310";"761.59";"USD";"Hotel"
"2012-05-01";"FR";"10087463";"218,07";"EUR";"Flight"
"2012-01-09";"FR";"10087951";"624,75";"EUR";"Hotel"
"2012-12-02";"UK";"10087982";"340.14";"USD";"Hotel"
"2012-08-10";"IT";"10088470";"348.53";"EUR";"Flight"
"2012-11-21";"FR";"10089385";"4.085,40";"EUR";"Hotel"
"11/04/2012";"UK";"10089691";"1 751.22";"USD";"Holidays"
"2012-02-01";"IT";"10090240";"289.90";"GBP";"Flight"
"2012-01-03";"UK";"10090332";"4 120.10";"GBP";"Hotel"
"2012-01-10";"UK";"10090515";"825.73";"GBP";"Holidays"
"2012-10-08";"FR";"10090545";"1.183,32";"USD";"Holidays"
"2012-06-25";"UK";"10090728";"2 214.46";"GBP";"Hotel"
"2012-11-09";"IT";"10090911";"135.32";"USD";"Hotel"
"2012-06-09";"ES";"10091094";"335.78";"GBP";"Hotel"
"03/21/2012";"FR";"10091369";"956,72";"EUR";"Flight"
"2012-01-25";"UK";"10091491";"2 380.64";"EUR";"Hotel"
"09/22/2012";"IT";"10091644";"436.32";"USD";"Holidays"
"12/21/2012";"UK";"10092102";"3 889.57";"GBP";"Hotel"
"01/12/2012";"FR";"10092163";"1.125,03";"GBP";"Flight"
"2012-06-12";"UK";"10092315";"750.25";"EUR";"Flight"
"10/28/2012";"UK";"10092651";"2 256.99";"GBP";"Hotel"
"2012-11-04";"IT";"10093139";"58.08";"USD";"Restaurant"
"2012-11-02";"UK";"10093200";"42.08";"GBP";"Cars"
"2012-10-21";"UK";"10093383";"424.48";"GBP";"Flight"
"2012-02-14";"UK";"10093505";"1 642.48";"EUR";"Hotel"
"12/06/2012";"IT";"10093536";"2.308.11";"USD";"Flight"
"2012-05-12";"IT";"10094207";"691.16";"EUR";"Hotel"
"2012-04-17";"FR";"10094421";"642,64";"USD";"Hotel"
"06/26/2012";"FR";"10094604";"4.701,50";"USD";"Hotel"
"2012-07-03";"ES";"10094635";"72.73";"GBP";"Hotel"
"2012-03-04";"IT";"10095367";"2.786.59";"USD";"Hotel"
"2012-01-26";"IT";"10095947";"1.594.74";"EUR";"Hotel"
"2012-01-23";"ES";"10096008";"220.91";"EUR";"Flight"
"2012-12-31";"ES";"10096466";"280.22";"GBP";"Hotel"
"2012-07-28";"IT";"10096496";"848.96";"EUR";"Holidays"
"09/30/2012";"UK";"10096527";"1 344.65";"GBP";"Flight"
"2012-07-02";"FR";"10096893";"2.032,96";"EUR";"Hotel"
"2012-12-17";"IT";"10098175";"171.06";"EUR";"Cars"
"2012-08-11";"IT";"10098388";"1.156.35";"USD";"Hotel"
"2012-06-16";"UK";"10098510";"3 050.11";"EUR";"Hotel"
"11/15/2012";"UK";"10098968";"3 130.56";"USD";"Holidays"
"11/28/2012";"FR";"10099090";"265,91";"USD";"Hotel"
"03/25/2012";"IT";"10100158";"3.436.47";"EUR";"Flight"
"2012-08-03";"IT";"10100677";"923.23";"GBP";"Hotel"
"2012-10-23";"UK";"10101196";"1 199.11";"GBP";"Flight"
"2012-12-13";"IT";"10101837";"1.648.06";"EUR";"Flight"
"2012-06-02";"FR";"10102111";"1.980,69";"GBP";"Flight"
"2012-06-02";"UK";"10102233";"2 417.71";"EUR";"Hotel"
"2012-04-15";"FR";"10102905";"92,13";"USD";"Hotel"
"2012-01-10";"UK";"10102935";"1 243.72";"USD";"Hotel"
"2012-02-16";"IT";"10103179";"447.84";"EUR";"Flight"
"2012-03-26";"ES";"10103424";"676.39";"EUR";"Holidays"
"2012-07-27";"FR";"10103546";"2.068,00";"EUR";"Hotel"
"10/24/2012";"UK";"10103881";"2 571.06";"USD";"Hotel"
"2012-10-02";"ES";"10103942";"1.059.12";"GBP";"Restaurant"
"2012-06-06";"IT";"10104003";"340.85";"GBP";"Flight"
"2012-11-10";"FR";"10104095";"360,45";"GBP";"Flight"
"2012-05-14";"UK";"10104248";"772.81";"EUR";"Hotel"
"2012-08-26";"ES";"10104309";"54.62";"GBP";"Holidays"
"2012-09-21";"ES";"10104431";"1.894.20";"EUR";"Hotel"
"2012-01-30";"UK";"10104492";"883.10";"EUR";"Flight"
"2012-08-31";"FR";"10104766";"267,25";"GBP";"Hotel"
"2012-01-10";"IT";"10104980";"3.496.43";"USD";"Hotel"
"2012-06-15";"UK";"10105133";"1 125.09";"USD";"Flight"
"2012-06-21";"IT";"10105682";"159.48";"USD";"Hotel"
"2012-08-10";"UK";"10105743";"394.87";"EUR";"Flight"
"2012-07-01";"UK";"10105926";"938.83";"GBP";"Flight"
"2012-09-17";"UK";"10105987";"521.52";"GBP";"Hotel"
"2012-01-18";"FR";"10106689";"514,69";"GBP";"Cars"
"2012-02-05";"FR";"10106750";"1.646,65";"USD";"Flight"
"2012-11-28";"UK";"10107055";"2 176.17";"GBP";"Hotel"
"2012-05-20";"IT";"10107238";"337.61";"GBP";"Cars"
"2012-04-06";"FR";"10107635";"37,56";"EUR";"Hotel"
"07/03/2012";"FR";"10108856";"3.279,79";"GBP";"Holidays"
"2012-10-07";"IT";"10108947";"397.94";"EUR";"Holidays"
"01/22/2012";"UK";"10109008";"91.76";"EUR";"Flight"
"2012-11-23";"UK";"10109069";"250.37";"EUR";"Flight"
"2012-07-02";"UK";"10109222";"921.64";"EUR";"Cars"
"2012-09-06";"IT";"10109405";"313.53";"GBP";"Hotel"
"2012-01-04";"UK";"10109436";"331.93";"EUR";"Flight"
"2012-03-10";"FR";"10110015";"2.961,61";"EUR";"Flight"
"2012-05-28";"FR";"10110748";"3.919,71";"GBP";"Hotel"
"12/17/2012";"ES";"10111053";"41.59";"EUR";"Flight"
"2012-11-28";"UK";"10111297";"783.17";"GBP";"Holidays"
"2012-10-25";"UK";"10111602";"2 854.37";"EUR";"Holidays"
"2012-08-26";"FR";"10112274";"1.207,81";"EUR";"Holidays"
"2012-12-16";"UK";"10112396";"436.68";"USD";"Holidays"
"2012-10-06";"UK";"10112457";"1 834.19";"GBP";"Flight"
"2012-04-27";"UK";"10112548";"524.12";"GBP";"Holidays"
"03/30/2012";"IT";"10112762";"482.31";"USD";"Hotel"
"2012-03-23";"UK";"10113220";"3 679.61";"USD";"Flight"
"2012-09-05";"UK";"10113494";"782.77";"EUR";"Hotel"
"2012-07-17";"FR";"10114318";"392,44";"EUR";"Hotel"
"2012-09-10";"UK";"10114501";"2 645.19";"USD";"Hotel"
"2012-07-17";"IT";"10114746";"1.053.24";"EUR";"Flight"
"2012-03-03";"FR";"10114776";"81,05";"GBP";"Holidays"
"10/01/2012";"FR";"10114868";"1.317,63";"USD";"Holidays"
"2012-11-28";"UK";"10115081";"2 254.31";"GBP";"Flight"
"01/22/2012";"UK";"10115112";"3 016.91";"USD";"Flight"
"2012-02-11";"UK";"10115386";"2 022.56";"EUR";"Hotel"
"05/16/2012";"FR";"10115447";"82,16";"EUR";"Hotel"
"2012-07-03";"IT";"10116027";"583.21";"EUR";"Restaurant"
"2012-01-12";"FR";"10116149";"2.246,79";"USD";"Flight"
"2012-11-07";"IT";"10116210";"919.32";"GBP";"Flight"
"07/20/2012";"UK";"10116271";"405.81";"GBP";"Hotel"
"2012-04-16";"FR";"10116455";"754,13";"GBP";"Flight"
"2012-03-13";"UK";"10117919";"1 172.75";"GBP";"Hotel"
"2012-12-03";"ES";"10117980";"889.85";"USD";"Hotel"
"2012-05-05";"UK";"10118011";"138.85";"GBP";"Flight"
"2012-12-05";"UK";"10118164";"675.53";"GBP";"Flight"
"2012-11-01";"FR";"10118408";"897,18";"GBP";"Holidays"
"2012-09-03";"UK";"10118591";"256.03";"GBP";"Hotel"
"04/15/2012";"FR";"10118713";"88,93";"GBP";"Flight"
"2012-12-22";"FR";"10119567";"956,21";"USD";"Hotel"
"2012-04-30";"UK";"10120788";"423.83";"GBP";"Restaurant"
"2012-05-27";"FR";"10121063";"1.922,47";"EUR";"Holidays"
"2012-06-22";"ES";"10121093";"705.06";"USD";"Hotel"
"2012-12-24";"UK";"10121398";"89.91";"EUR";"Holidays"
"2012-02-14";"FR";"10121612";"1.307,92";"EUR";"Hotel"
"2012-05-02";"IT";"10121734";"98.43";"USD";"Flight"
"2012-10-10";"UK";"10122497";"3 171.62";"EUR";"Flight"
"2012-11-22";"FR";"10122528";"2.400,92";"EUR";"Hotel"
"2012-05-11";"UK";"10122558";"856.91";"GBP";"Flight"
"2012-07-12";"FR";"10123107";"2.821,85";"EUR";"Hotel"
"2012-12-29";"FR";"10123809";"42,75";"GBP";"Hotel"
"2012-12-15";"IT";"10124328";"1.271.22";"USD";"Holidays"
"07/07/2012";"IT";"10124389";"3.179.50";"EUR";"Hotel"
"03/21/2012";"FR";"10125335";"1.554,83";"USD";"Flight"
